"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0,0.99997,0.0072616,-0.078103,0.051967,0.12229
0,0.99997,0.0072603,-0.078103,0.051981,0.12034
0,0.99997,0.0072606,-0.078103,0.051995,0.11837
0,0.99997,0.0072615,-0.078103,0.052009,0.1164
0,0.99997,0.0072613,-0.078103,0.052024,0.11442
0,0.99997,0.0072607,-0.078103,0.052038,0.11242
0,0.99997,0.0072608,-0.078103,0.052053,0.11042
0,0.99997,0.0072607,-0.078103,0.052067,0.1084
0,0.99997,0.0072602,-0.078103,0.052082,0.10638
0,0.99997,0.0072614,-0.078103,0.052097,0.10434
0,0.99997,0.0072613,-0.078103,0.052112,0.10229
0,0.99997,0.0072609,-0.078103,0.052127,0.10023
0,0.99997,0.0072612,-0.078103,0.052142,0.098161
0,0.99997,0.0072612,-0.078103,0.052157,0.096079
0,0.99997,0.0072609,-0.078103,0.052172,0.093986
0,0.99997,0.0072604,-0.078103,0.052187,0.091881
0,0.99997,0.0072604,-0.078103,0.052203,0.089765
0,0.99997,0.0072611,-0.078103,0.052218,0.087638
0,0.99997,0.0072614,-0.078103,0.052234,0.085498
0,0.99997,0.0072615,-0.078103,0.052249,0.083347
0,0.99997,0.0072613,-0.078103,0.052265,0.081184
0,0.99997,0.0072609,-0.078103,0.052281,0.07901
0,0.99997,0.007261,-0.078103,0.052297,0.076823
0,0.99997,0.0072608,-0.078103,0.052313,0.074624
0,0.99997,0.0072604,-0.078103,0.052329,0.072413
0,0.99997,0.0072605,-0.078103,0.052345,0.07019
0,0.99997,0.0072612,-0.078103,0.052361,0.067955
0,0.99997,0.0072616,-0.078103,0.052377,0.065707
0,0.99997,0.0072609,-0.078103,0.052394,0.063446
0,0.99997,0.0072607,-0.078103,0.05241,0.061173
0,0.99997,0.0072611,-0.078103,0.052427,0.058888
0,0.99997,0.0072612,-0.078103,0.052444,0.056589
0,0.99997,0.007261,-0.078103,0.05246,0.054278
0,0.99997,0.0072606,-0.078103,0.052477,0.051954
0,0.99997,0.0072606,-0.078103,0.052494,0.049617
0,0.99997,0.0072612,-0.078103,0.052511,0.047267
0,0.99997,0.0072615,-0.078103,0.052528,0.044903
0,0.99997,0.0072608,-0.078103,0.052546,0.042527
0,0.99997,0.0072605,-0.078103,0.052563,0.040137
0,0.99997,0.0072608,-0.078103,0.052581,0.037733
0,0.99997,0.0072608,-0.078103,0.052598,0.035316
0,0.99997,0.0072612,-0.078103,0.052616,0.032885
