"Points:0","Points:1","Points:2"
-0.04504,0.045849,0.3965
-0.046987,0.044353,0.3995
-0.046962,0.045153,0.3985
-0.046938,0.045952,0.3975
-0.046913,0.046751,0.3965
-0.049114,0.045155,0.3995
-0.049114,0.045955,0.3985
-0.049114,0.046755,0.3975
-0.049114,0.047511,0.3965
-0.051104,0.045955,0.3995
-0.051104,0.046755,0.3985
-0.051104,0.047511,0.3975
-0.051104,0.047511,0.39556
-0.051104,0.048223,0.3965
-0.053007,0.046755,0.3995
-0.053007,0.047511,0.3985
-0.053007,0.048223,0.3975
-0.053007,0.047511,0.39469
-0.053007,0.048223,0.39556
-0.053007,0.048936,0.3965
-0.054836,0.047511,0.3995
-0.054836,0.048223,0.3985
-0.054836,0.048936,0.3975
-0.054836,0.047511,0.39381
-0.054836,0.048223,0.39469
-0.054836,0.048936,0.39556
-0.054836,0.049648,0.3965
-0.056604,0.048223,0.3995
-0.056604,0.048936,0.3985
-0.056604,0.049648,0.3975
-0.056604,0.047511,0.39294
-0.056604,0.048223,0.39381
-0.056604,0.048936,0.39469
-0.056604,0.049648,0.39556
-0.058321,0.048936,0.3995
-0.058321,0.049648,0.3985
-0.058321,0.048223,0.39294
-0.058321,0.047514,0.392
-0.058321,0.048936,0.39381
-0.058321,0.049648,0.39469
-0.06,0.049648,0.3995
-0.06,0.048936,0.39294
-0.06,0.048227,0.392
-0.06,0.047522,0.391
-0.06,0.049648,0.39381
-0.061652,0.049648,0.39294
-0.061652,0.048939,0.392
-0.061652,0.048234,0.391
-0.061652,0.047529,0.39
-0.066436,0.049648,0.3995
-0.067991,0.048936,0.3995
-0.069547,0.048223,0.3995
-0.071103,0.047511,0.3995
-0.067991,0.049648,0.3985
-0.069547,0.048936,0.3985
-0.071103,0.048223,0.3985
-0.072658,0.047511,0.3985
-0.069547,0.049648,0.3975
-0.071103,0.048936,0.3975
-0.072658,0.048223,0.3975
-0.074214,0.047511,0.3975
-0.06488,0.049648,0.39294
-0.063288,0.049652,0.392
-0.066436,0.048936,0.39294
-0.06488,0.048939,0.392
-0.063288,0.048947,0.391
-0.067991,0.048223,0.39294
-0.066436,0.048227,0.392
-0.06488,0.048234,0.391
-0.063288,0.048241,0.39
-0.069547,0.047511,0.39294
-0.067991,0.047514,0.392
-0.066436,0.047522,0.391
-0.06488,0.047529,0.39
-0.063288,0.047536,0.389
-0.066436,0.049648,0.39381
-0.067991,0.048936,0.39381
-0.069547,0.048223,0.39381
-0.071103,0.047511,0.39381
-0.067991,0.049648,0.39469
-0.069547,0.048936,0.39469
-0.071103,0.048223,0.39469
-0.072658,0.047511,0.39469
-0.069547,0.049648,0.39556
-0.071103,0.048936,0.39556
-0.072658,0.048223,0.39556
-0.074214,0.047511,0.39556
-0.071103,0.049648,0.3965
-0.072658,0.048936,0.3965
-0.074214,0.048223,0.3965
-0.075769,0.047511,0.3965
-0.042081,0.041114,0.3965
-0.042666,0.042003,0.3975
-0.042062,0.042518,0.3965
-0.043451,0.042723,0.3985
-0.042991,0.04337,0.3975
-0.042531,0.044017,0.3965
-0.044388,0.043228,0.3995
-0.0441,0.043968,0.3985
-0.043813,0.044708,0.3975
-0.043525,0.045448,0.3965
-0.045285,0.044275,0.3995
-0.045163,0.045062,0.3985
-0.04504,0.045849,0.3975
-0.044917,0.046636,0.3965
-0.046962,0.045153,0.3995
-0.046938,0.045952,0.3985
-0.046913,0.046751,0.3975
-0.046889,0.047507,0.3965
-0.049114,0.045955,0.3995
-0.049114,0.046755,0.3985
-0.049114,0.047511,0.3975
-0.049114,0.047511,0.39556
-0.049114,0.048223,0.3965
-0.051104,0.046755,0.3995
-0.051104,0.047511,0.3985
-0.051104,0.048223,0.3975
-0.051104,0.047511,0.39469
-0.051104,0.048223,0.39556
-0.051104,0.048936,0.3965
-0.053007,0.047511,0.3995
-0.053007,0.048223,0.3985
-0.053007,0.048936,0.3975
-0.053007,0.047511,0.39381
-0.053007,0.048223,0.39469
-0.053007,0.048936,0.39556
-0.053007,0.049648,0.3965
-0.054836,0.048223,0.3995
-0.054836,0.048936,0.3985
-0.054836,0.049648,0.3975
-0.054836,0.047511,0.39294
-0.054836,0.048223,0.39381
-0.054836,0.048936,0.39469
-0.054836,0.049648,0.39556
-0.056604,0.048936,0.3995
-0.056604,0.049648,0.3985
-0.056604,0.048223,0.39294
-0.056604,0.047514,0.392
-0.056604,0.048936,0.39381
-0.056604,0.049648,0.39469
-0.058321,0.049648,0.3995
-0.058321,0.048936,0.39294
-0.058321,0.048227,0.392
-0.058321,0.047522,0.391
-0.058321,0.049648,0.39381
-0.06,0.049648,0.39294
-0.06,0.048939,0.392
-0.06,0.048234,0.391
-0.06,0.047529,0.39
-0.061652,0.049652,0.392
-0.061652,0.048947,0.391
-0.061652,0.048241,0.39
-0.061652,0.047536,0.389
-0.067991,0.049648,0.3995
-0.069547,0.048936,0.3995
-0.071103,0.048223,0.3995
-0.072658,0.047511,0.3995
-0.069547,0.049648,0.3985
-0.071103,0.048936,0.3985
-0.072658,0.048223,0.3985
-0.074214,0.047511,0.3985
-0.071103,0.049648,0.3975
-0.072658,0.048936,0.3975
-0.074214,0.048223,0.3975
-0.075769,0.047511,0.3975
-0.066436,0.049648,0.39294
-0.06488,0.049652,0.392
-0.063288,0.049659,0.391
-0.067991,0.048936,0.39294
-0.066436,0.048939,0.392
-0.06488,0.048947,0.391
-0.063288,0.048954,0.39
-0.069547,0.048223,0.39294
-0.067991,0.048227,0.392
-0.066436,0.048234,0.391
-0.06488,0.048241,0.39
-0.063288,0.048249,0.389
-0.071103,0.047511,0.39294
-0.069547,0.047514,0.392
-0.067991,0.047522,0.391
-0.066436,0.047529,0.39
-0.06488,0.047536,0.389
-0.063288,0.047543,0.388
-0.067991,0.049648,0.39381
-0.069547,0.048936,0.39381
-0.071103,0.048223,0.39381
-0.072658,0.047511,0.39381
-0.069547,0.049648,0.39469
-0.071103,0.048936,0.39469
-0.072658,0.048223,0.39469
-0.074214,0.047511,0.39469
-0.071103,0.049648,0.39556
-0.072658,0.048936,0.39556
-0.074214,0.048223,0.39556
-0.075769,0.047511,0.39556
-0.072658,0.049648,0.3965
-0.074214,0.048936,0.3965
-0.075769,0.048223,0.3965
-0.077325,0.047511,0.3965
-0.041733,0.040121,0.3965
-0.042081,0.041114,0.3975
-0.041369,0.041465,0.3965
-0.042666,0.042003,0.3985
-0.042062,0.042518,0.3975
-0.041457,0.043033,0.3965
-0.043451,0.042723,0.3995
-0.042991,0.04337,0.3985
-0.042531,0.044017,0.3975
-0.042071,0.044664,0.3965
-0.0441,0.043968,0.3995
-0.043813,0.044708,0.3985
-0.043525,0.045448,0.3975
-0.043237,0.046188,0.3965
-0.045163,0.045062,0.3995
-0.04504,0.045849,0.3985
-0.044917,0.046636,0.3975
-0.044801,0.04738,0.3965
-0.046938,0.045952,0.3995
-0.046913,0.046751,0.3985
-0.046889,0.047507,0.3975
-0.046889,0.047507,0.39556
-0.046867,0.048218,0.3965
-0.049114,0.046755,0.3995
-0.049114,0.047511,0.3985
-0.049114,0.048223,0.3975
-0.049114,0.047511,0.39469
-0.049114,0.048223,0.39556
-0.049114,0.048936,0.3965
-0.051104,0.047511,0.3995
-0.051104,0.048223,0.3985
-0.051104,0.048936,0.3975
-0.051104,0.047511,0.39381
-0.051104,0.048223,0.39469
-0.051104,0.048936,0.39556
-0.051104,0.049648,0.3965
-0.053007,0.048223,0.3995
-0.053007,0.048936,0.3985
-0.053007,0.049648,0.3975
-0.053007,0.047511,0.39294
-0.053007,0.048223,0.39381
-0.053007,0.048936,0.39469
-0.053007,0.049648,0.39556
-0.054836,0.048936,0.3995
-0.054836,0.049648,0.3985
-0.054836,0.048223,0.39294
-0.054836,0.047514,0.392
-0.054836,0.048936,0.39381
-0.054836,0.049648,0.39469
-0.056604,0.049648,0.3995
-0.056604,0.048936,0.39294
-0.056604,0.048227,0.392
-0.056604,0.047522,0.391
-0.056604,0.049648,0.39381
-0.058321,0.049648,0.39294
-0.058321,0.048939,0.392
-0.058321,0.048234,0.391
-0.058321,0.047529,0.39
-0.06,0.049652,0.392
-0.06,0.048947,0.391
-0.06,0.048241,0.39
-0.06,0.047536,0.389
-0.061652,0.049659,0.391
-0.061652,0.048954,0.39
-0.061652,0.048249,0.389
-0.061652,0.047543,0.388
-0.069547,0.049648,0.3995
-0.071103,0.048936,0.3995
-0.072658,0.048223,0.3995
-0.074214,0.047511,0.3995
-0.071103,0.049648,0.3985
-0.072658,0.048936,0.3985
-0.074214,0.048223,0.3985
-0.075769,0.047511,0.3985
-0.072658,0.049648,0.3975
-0.074214,0.048936,0.3975
-0.075769,0.048223,0.3975
-0.077325,0.047511,0.3975
-0.067991,0.049648,0.39294
-0.066436,0.049652,0.392
-0.06488,0.049659,0.391
-0.063288,0.049666,0.39
-0.069547,0.048936,0.39294
-0.067991,0.048939,0.392
-0.066436,0.048947,0.391
-0.06488,0.048954,0.39
-0.063288,0.048961,0.389
-0.071103,0.048223,0.39294
-0.069547,0.048227,0.392
-0.067991,0.048234,0.391
-0.066436,0.048241,0.39
-0.06488,0.048249,0.389
-0.063288,0.048256,0.388
-0.072658,0.047511,0.39294
-0.071103,0.047514,0.392
-0.069547,0.047522,0.391
-0.067991,0.047529,0.39
-0.066436,0.047536,0.389
-0.06488,0.047543,0.388
-0.063288,0.047551,0.387
-0.069547,0.049648,0.39381
-0.071103,0.048936,0.39381
-0.072658,0.048223,0.39381
-0.074214,0.047511,0.39381
-0.071103,0.049648,0.39469
-0.072658,0.048936,0.39469
-0.074214,0.048223,0.39469
-0.075769,0.047511,0.39469
-0.072658,0.049648,0.39556
-0.074214,0.048936,0.39556
-0.075769,0.048223,0.39556
-0.077325,0.047511,0.39556
-0.074214,0.049648,0.3965
-0.075769,0.048936,0.3965
-0.077325,0.048223,0.3965
-0.041533,0.0386,0.3965
-0.041733,0.040121,0.3975
-0.040959,0.040311,0.3965
-0.042081,0.041114,0.3985
-0.041369,0.041465,0.3975
-0.040657,0.041816,0.3965
-0.042666,0.042003,0.3995
-0.042062,0.042518,0.3985
-0.041457,0.043033,0.3975
-0.040853,0.043547,0.3965
-0.042991,0.04337,0.3995
-0.042531,0.044017,0.3985
-0.042071,0.044664,0.3975
-0.041611,0.045311,0.3965
-0.043813,0.044708,0.3995
-0.043525,0.045448,0.3985
-0.043237,0.046188,0.3975
-0.042965,0.046887,0.3965
-0.04504,0.045849,0.3995
-0.044917,0.046636,0.3985
-0.044801,0.04738,0.3975
-0.044801,0.04738,0.39556
-0.044692,0.048081,0.3965
-0.046913,0.046751,0.3995
-0.046889,0.047507,0.3985
-0.046867,0.048218,0.3975
-0.046889,0.047507,0.39469
-0.046867,0.048218,0.39556
-0.046845,0.04893,0.3965
-0.049114,0.047511,0.3995
-0.049114,0.048223,0.3985
-0.049114,0.048936,0.3975
-0.049114,0.047511,0.39381
-0.049114,0.048223,0.39469
-0.049114,0.048936,0.39556
-0.049114,0.049648,0.3965
-0.051104,0.048223,0.3995
-0.051104,0.048936,0.3985
-0.051104,0.049648,0.3975
-0.051104,0.047511,0.39294
-0.051104,0.048223,0.39381
-0.051104,0.048936,0.39469
-0.051104,0.049648,0.39556
-0.053007,0.048936,0.3995
-0.053007,0.049648,0.3985
-0.053007,0.048223,0.39294
-0.053007,0.047514,0.392
-0.053007,0.048936,0.39381
-0.053007,0.049648,0.39469
-0.054836,0.049648,0.3995
-0.054836,0.048936,0.39294
-0.054836,0.048227,0.392
-0.054836,0.047522,0.391
-0.054836,0.049648,0.39381
-0.056604,0.049648,0.39294
-0.056604,0.048939,0.392
-0.056604,0.048234,0.391
-0.056604,0.047529,0.39
-0.058321,0.049652,0.392
-0.058321,0.048947,0.391
-0.058321,0.048241,0.39
-0.058321,0.047536,0.389
-0.06,0.049659,0.391
-0.06,0.048954,0.39
-0.06,0.048249,0.389
-0.06,0.047543,0.388
-0.061652,0.049666,0.39
-0.061652,0.048961,0.389
-0.061652,0.048256,0.388
-0.061652,0.047551,0.387
-0.071103,0.049648,0.3995
-0.072658,0.048936,0.3995
-0.074214,0.048223,0.3995
-0.075769,0.047511,0.3995
-0.072658,0.049648,0.3985
-0.074214,0.048936,0.3985
-0.075769,0.048223,0.3985
-0.077325,0.047511,0.3985
-0.074214,0.049648,0.3975
-0.075769,0.048936,0.3975
-0.077325,0.048223,0.3975
-0.069547,0.049648,0.39294
-0.067991,0.049652,0.392
-0.066436,0.049659,0.391
-0.06488,0.049666,0.39
-0.063288,0.049674,0.389
-0.071103,0.048936,0.39294
-0.069547,0.048939,0.392
-0.067991,0.048947,0.391
-0.066436,0.048954,0.39
-0.06488,0.048961,0.389
-0.063288,0.048968,0.388
-0.072658,0.048223,0.39294
-0.071103,0.048227,0.392
-0.069547,0.048234,0.391
-0.067991,0.048241,0.39
-0.066436,0.048249,0.389
-0.06488,0.048256,0.388
-0.063288,0.048263,0.387
-0.074214,0.047511,0.39294
